Establishment_id,Name,Category,Inspection_date,Inspection_results,City,State,Zip,Address_line_1,Address_line_2,Food_from_approved_source,Food_protected_from_contamination,Ill_workers_restricted,Proper_hand_washing,Cooling_time_and_temperature,Cold_holding_temperature,Hot_holding_temperature,Cooking_time_and_temperature,Reheating_time_and_temperature,Hot_and_cold_running_water_provided,Proper_sewage_disposal,No_bare_hand_contact,Adequate_hand_washing_facilities,Rodent_and_insects,Food_contact_surfaces_and_equipment,Inspection_type,Owner,Type,Location,Zip Codes
1146,PIZZA HUT 23538,Fast Food - Chain,05/29/2020 12:00:00 AM,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,9015 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Change Of Ownership,LUIS IBARGUENGOYTIA,Food Establishments,POINT (-76.931327 38.999878),15305
2196,SEVEN ELEVEN 11664C,Convenience Store,07/09/2020 12:00:00 AM,Compliance Schedule - Outstanding,COLLEGE PARK,MD,20740,4404 KNOX RD,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,RUCHEE JUDGE,Food Establishments,POINT (-76.938659 38.980959),15305
342,COLLEGE PARK DINER,Restaurant,07/17/2020 12:00:00 AM,------,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,N/A,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215),15305
2228,SEVEN ELEVEN 11642B,Convenience Store,03/16/2020 12:00:00 AM,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,4921 EDGEWOOD RD,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,EABA YADOTA,Food Establishments,POINT (-76.922405 39.015982),15305
730,JASON'S DELI,Fast Food - Chain,03/13/2020 12:00:00 AM,Compliance Schedule - Outstanding,COLLEGE PARK,MD,20740,7356 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,JOE TORTORICE JR,Food Establishments,POINT (-76.937981 38.980544),15305
329,CHIPOTLE MEXICAN GRILL 1786,Fast Food - Chain,03/16/2020 12:00:00 AM,Compliant - No Health Risk,COLLEGE PARK,MD,20740,10250 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Monitoring,MONTGOMERY F MORAN,Food Establishments,POINT (-76.924414 39.022738),15305
2139,POTBELLY SANDWICH WORKS,Fast Food,10/21/2019 12:00:00 AM,Compliance Schedule - Completed,COLLEGE PARK,MD,20740,10260 BALTIMORE AVE,H,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,BASYE MOSKOWITZ,Food Establishments,POINT (-76.924545 39.022579),15305
6345,Frutta Bowls,Restaurant,10/18/2019 12:00:00 AM,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,8150 BALTIMORE AVE,B,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Comprehensive,ROBERT CALAVETTA,Food Establishments,POINT (-76.933738 38.991271),15305
1605,UMCP - PANDA EXPRESS 802,College/University,10/17/2019 12:00:00 AM,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20742,3841 CAMPUS DR,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,PEGGY CHERNG,Food Establishments,POINT (-76.948226 38.984828),15306
8268,TROPICAL SMOOTHIE CAFE,Carry-out,10/21/2019 12:00:00 AM,Compliance Schedule - Outstanding,COLLEGE PARK,MD,20740,10260 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,JIGNA PATEL,Food Establishments,POINT (-76.924545 39.022579),15305
8480,UMCP - HIBACHI SAN 66,College/University,10/17/2019 12:00:00 AM,Compliant - No Health Risk,COLLEGE PARK,MD,20742,3841 CAMPUS DR,0117,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,N/A,ANDREW CHERNG,Food Establishments,POINT (-76.948226 38.984828),15306
1612,UMCP - TACO BELL ENGINEERING,College/University,10/22/2019 12:00:00 AM,Compliant - No Health Risk,COLLEGE PARK,MD,20742,3841 CAMPUS DR,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,Joseph Mullineaux,Food Establishments,POINT (-76.948226 38.984828),15306
1015,NELLY'S CAFE,Full Service,10/23/2019 12:00:00 AM,Critical Violations observed,COLLEGE PARK,MD,20740,9917 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,Miguel Medrano,Food Establishments,POINT (-76.920518 39.01661),15305
2347,UMCP - E & M SUBWAY 1738,College/University,10/22/2019 12:00:00 AM,Compliant - No Health Risk,COLLEGE PARK,MD,20742,3841 CAMPUS DR,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,JOSEPH MULLINEAUX,Food Establishments,POINT (-76.948226 38.984828),15306
1496,TACO BELL 28976,Fast Food,01/06/2020 12:00:00 AM,Compliant - No Health Risk,COLLEGE PARK,MD,20740,8428 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Monitoring,JAMES BODENSTEDT,Food Establishments,POINT (-76.932392 38.994329),15305
8005,Blaze Pizza,Fast Food - Chain,01/02/2020 12:00:00 AM,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,7419 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,Amit Patel,Food Establishments,POINT (-76.937838 38.981901),15305
1304,SAKURA SEAFOOD BUFFET,Full Service,01/03/2020 12:00:00 AM,Compliance Schedule - Outstanding,COLLEGE PARK,MD,20740,9031 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,ZHONG WANG,Food Establishments,POINT (-76.931224 39.000768),15305
638,HANAMI JAPANESE RESTAURANT,Restaurant,01/02/2020 12:00:00 AM,------,COLLEGE PARK,MD,20740,8145 BALTIMORE AVE,M,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,IRENE SONG,Food Establishments,POINT (-76.933698 38.99136),15305
1137,PIZZA BOLIS,Carry-out,01/09/2020 12:00:00 AM,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,8147 BALTIMORE AVE,G,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,MUMTAZ GHANI,Food Establishments,POINT (-76.93367 38.991425),15305
8480,UMCP - HIBACHI SAN 66,College/University,04/19/2019 12:00:00 AM,Compliant - No Health Risk,COLLEGE PARK,MD,20742,3841 CAMPUS DR,0117,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Monitoring,ANDREW CHERNG,Food Establishments,POINT (-76.948226 38.984828),15306
8480,UMCP - HIBACHI SAN 66,College/University,11/28/2018 12:00:00 AM,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20742,3841 CAMPUS DR,0117,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,ANDREW CHERNG,Food Establishments,POINT (-76.948226 38.984828),15306
1355,Nene's Restaurant,Full Service,12/26/2019 12:00:00 AM,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,9905 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Pre-Opening Inspection,MARY POPO,Food Establishments,POINT (-76.920566 39.016438),15305
1835,DOMINO'S PIZZA 4649,Carry-out,01/08/2020 12:00:00 AM,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,7312 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,MARY LYNNE CARRAWAY,Food Establishments,POINT (-76.937981 38.979989),15305
8448,LOTSA STONE FIRED PIZZA,Fast Food - Chain,01/07/2020 12:00:00 AM,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,4350 KNOX RD,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,ANTHONY DIGANGI,Food Establishments,POINT (-76.939256 38.981051),15305
2139,POTBELLY SANDWICH WORKS,Fast Food,01/06/2020 12:00:00 AM,Compliance Schedule - Completed,COLLEGE PARK,MD,20740,10260 BALTIMORE AVE,H,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,BASYE MOSKOWITZ,Food Establishments,POINT (-76.924545 39.022579),15305
1362,SHOPPERS FOOD 52050 (2366),Grocery Store,01/09/2020 12:00:00 AM,Compliant - No Health Risk,COLLEGE PARK,MD,20740,4720 CHERRY HILL RD,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Food Complaint,JILL SUTTON,Food Establishments,POINT (-76.929323 39.01532),15305
2138,POTBELLY SANDWICH WORKS,Fast Food,01/07/2020 12:00:00 AM,Compliance Schedule - Outstanding,COLLEGE PARK,MD,20740,7422 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,N/A,BASYE MOSKOWITZ,Food Establishments,POINT (-76.93798 38.98151),15305
13325,THE HOTEL @ UMCP- EMPLOYEE LOUNGE,Full Service,05/22/2018 12:00:00 AM,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,7777 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Monitoring,SUSAN HILLMAN,Food Establishments,POINT (-76.936569 38.986309),15306
8268,TROPICAL SMOOTHIE CAFE,Carry-out,10/30/2019 12:00:00 AM,Compliance Schedule - Outstanding,COLLEGE PARK,MD,20740,10260 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,JIGNA PATEL,Food Establishments,POINT (-76.924545 39.022579),15305
2358,UMCP - SNEAKERS,College/University,10/31/2019 12:00:00 AM,Compliance Schedule - Outstanding,COLLEGE PARK,MD,20742,3841 CAMPUS DR,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Monitoring,Joseph Mullineaux,Food Establishments,POINT (-76.948226 38.984828),15306
13334,THE HOTEL @ UMCP - LOBBY BAR,Full Service,05/22/2018 12:00:00 AM,Critical Violations observed,COLLEGE PARK,MD,20740,7777 BALTIMORE AVE,------,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Monitoring,SUSAN HILLMAN,Food Establishments,POINT (-76.936569 38.986309),15306
