id,name,categories,transactions,price,rating,review_count,location,phone
vDHEfvbVUe-SJDo9J2cVng,Milk & Honey Cafe,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}]","['delivery', 'pickup']",$$,4.0,2808,"{'address1': '10280 Baltimore Ave', 'address2': 'Ste B', 'address3': None, 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['10280 Baltimore Ave', 'Ste B', 'College Park, MD 20740']}",+13014772195
W4IqD7ngnpBMCz3pmySTiw,The Board and Brew,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tabletopgames', 'title': 'Tabletop Games'}]","['delivery', 'pickup']",$$,4.0,375,"{'address1': '8150 Baltimore Ave', 'address2': '', 'address3': '', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['8150 Baltimore Ave', 'College Park, MD 20740']}",+12405424613
NMYKHvAHE-rGUBStfeAKgg,The Hall CP,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",['delivery'],$$,4.0,240,"{'address1': '4656 Hotel Dr', 'address2': '', 'address3': None, 'city': 'College Park', 'zip_code': '20742', 'country': 'US', 'state': 'MD', 'display_address': ['4656 Hotel Dr', 'College Park, MD 20742']}",+13014038961
xY6IuDhzT9-m8CMNk812zQ,Taqueria Habanero,"[{'alias': 'tacos', 'title': 'Tacos'}]",['delivery'],$$,4.0,279,"{'address1': '8145 Baltimore Ave', 'address2': 'Ste A', 'address3': '', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['8145 Baltimore Ave', 'Ste A', 'College Park, MD 20740']}",+12402414486
ZgjCUSm-El-zEGdRm769nQ,Purple Patch,"[{'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","['delivery', 'pickup']",$$,4.5,1189,"{'address1': '3155 Mt Pleasant St NW', 'address2': None, 'address3': '', 'city': 'Washington, DC', 'zip_code': '20010', 'country': 'US', 'state': 'DC', 'display_address': ['3155 Mt Pleasant St NW', 'Washington, DC 20010']}",+12022990022
Nbc0CZ1NEK2ofoepTk8Sjw,LàTAO,"[{'alias': 'hotpot', 'title': 'Hot Pot'}]",[],$$,4.0,177,"{'address1': '8700 Baltimore Ave', 'address2': '', 'address3': None, 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['8700 Baltimore Ave', 'College Park, MD 20740']}",+13014411111
wZlxI1Psmg31JlPRVEmXiQ,NuVegan Cafe - College Park,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'soulfood', 'title': 'Soul Food'}]","['delivery', 'pickup']",$$,4.0,509,"{'address1': '8150 Baltimore Ave', 'address2': '', 'address3': '', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['8150 Baltimore Ave', 'College Park, MD 20740']}",+12405537567
SsI5LpyP5KwDxYhLu123pQ,Burtons Grill & Bar,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}]","['delivery', 'pickup']",$$,4.0,602,"{'address1': '4440 Van Buren St', 'address2': '', 'address3': None, 'city': 'Riverdale Park', 'zip_code': '20782', 'country': 'US', 'state': 'MD', 'display_address': ['4440 Van Buren St', 'Riverdale Park, MD 20782']}",+12408253988
NzS3topSWepwNrVHB18Ouw,College Park Grill,"[{'alias': 'jazzandblues', 'title': 'Jazz & Blues'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'steak', 'title': 'Steakhouses'}]","['delivery', 'pickup']",$$,3.5,113,"{'address1': '8321 Baltimore Ave', 'address2': None, 'address3': '', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['8321 Baltimore Ave', 'College Park, MD 20740']}",+13014744745
g5K7gQLArdpXYqbw1yAFHw,Maydan,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'lebanese', 'title': 'Lebanese'}]",['delivery'],$$$$,4.5,1053,"{'address1': '1346 Florida Ave NW', 'address2': '', 'address3': None, 'city': 'Washington, DC', 'zip_code': '20009', 'country': 'US', 'state': 'DC', 'display_address': ['1346 Florida Ave NW', 'Washington, DC 20009']}",
H7FdxcPi_O3yxrOo1Ayt_g,Rooster & Owl,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",[],$$$$,4.5,373,"{'address1': '2436 14th St NW', 'address2': '', 'address3': None, 'city': 'Washington, DC', 'zip_code': '20009', 'country': 'US', 'state': 'DC', 'display_address': ['2436 14th St NW', 'Washington, DC 20009']}",+12029159004
Rr1ydFrn1BIaGPKfVa8v3w,2Fifty Texas BBQ,"[{'alias': 'bbq', 'title': 'Barbeque'}]",['delivery'],$$,4.5,323,"{'address1': '4700 Riverdale Rd', 'address2': None, 'address3': None, 'city': 'Riverdale Park', 'zip_code': '20737', 'country': 'US', 'state': 'MD', 'display_address': ['4700 Riverdale Rd', 'Riverdale Park, MD 20737']}",+12407648763
